uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
CCDC136:ENSG00000128596:E23.2-E24.2|ENSG00000128596:E15.2-E25.1	0.17	0.09	0.19	0.04	0.04	0.24	0.19	0.16	0.0	0.07	0.19	0.12	0.09	0.12	0.02	0.06	0.02	0.0	0.04	0.14	0.31	0.08
SLC44A2:ENSG00000129353:E22.3-E23.1|ENSG00000129353:E22.3-E23.3	0.14	0.24	0.31	0.42	0.44	0.06	0.09	0.15	0.24	0.33	0.17	0.39	0.24	0.23	0.28	0.26	0.51	0.26	0.32	0.16	0.07	0.15
SLC44A2:ENSG00000129353:E22.3-E23.3|ENSG00000129353:E22.3-E23.1	0.81	0.71	0.62	0.48	0.47	0.92	0.88	0.81	0.72	0.6	0.78	0.52	0.71	0.71	0.66	0.67	0.4	0.7	0.62	0.79	0.9	0.8
MLLT1:ENSG00000130382:E7.1-E9.1|ENSG00000130382:E8.1-E9.1	0.92	0.91	0.84	0.91	0.87	0.78	0.8	0.88	0.92	0.93	0.91	0.87	0.93	0.91	0.89	0.96	0.88	0.92	0.88	0.85	0.91	0.92
MLLT1:ENSG00000130382:E8.1-E9.1|ENSG00000130382:E7.1-E9.1	0.08	0.09	0.16	0.09	0.11	0.16	0.17	0.12	0.08	0.07	0.09	0.07	0.07	0.09	0.11	0.04	0.12	0.08	0.12	0.15	0.09	0.08
RAB11FIP4:ENSG00000131242:E5.1-E9.1|ENSG00000131242:E7.4-E9.1	0.81	0.86	0.67	0.86	1.0	0.54	0.38	0.55	0.84	0.55	0.85	0.83	0.7	0.7	0.74	0.62	0.79	0.69	0.71	0.86	0	0.79
RAB11FIP4:ENSG00000131242:E7.4-E9.1|ENSG00000131242:E5.1-E9.1	0.11	0.05	0.17	0.04	0.0	0.34	0.45	0.11	0.05	0.06	0.06	0.09	0.1	0.09	0.12	0.1	0.06	0.1	0.11	0.05	0	0.08
KIF3A:ENSG00000131437:E12.1-E13.1|ENSG00000131437:E10.2-E13.1	0.83	0.9	0.85	0.83	0.78	0.46	0.51	0.93	0.91	0.66	0.64	0.81	0.66	0.76	0.83	0.8	0.79	0.86	0.89	0.89	0.6	0.77
DTNA:ENSG00000134769:E43.2-E48.1|ENSG00000134769:E43.2-E44.1	0.41	0.31	0.31	0.47	0.68	0.33	0.41	0.25	0.34	0.51	0.4	0.49	0.4	0.36	0.37	0.32	0.36	0.49	0.45	0.38	0.48	0.25
DOCK10:ENSG00000135905:E64.2-E66.1|ENSG00000135905:E65.1-E66.1	0.53	0.65	0.61	0.3	0.52	0.78	0.54	0.62	0.35	0.53	0.34	0.41	0.64	0.41	0.17	0.24	0.36	0.24	0.4	0.5	0.44	0.43
TBRG4:ENSG00000136270:E8.3-E9.1|ENSG00000136270:E6.4-E9.1	0.74	0.72	0.54	0.36	0.52	0.79	0.67	0.49	0.52	0.55	0.67	0.62	0.54	0.69	0.53	0.62	0.42	0.72	0.57	0.78	0.63	0.64
ATAT1:ENSG00000137343:E11.1-E13.1|ENSG00000137343:E11.1-E12.1	0.02	0.04	0.05	0.02	0.02	0.05	0.07	0.08	0.03	0.04	0.02	0.02	0.03	0.02	0.04	0.04	0.01	0.01	0.04	0.02	0.23	0.07
ATAT1:ENSG00000137343:E11.1-E12.1|ENSG00000137343:E11.1-E13.1	0.87	0.96	0.93	0.97	0.97	0.54	0.7	0.8	0.87	0.93	0.87	0.97	0.88	0.96	0.95	0.76	0.88	0.99	0.94	0.96	0.71	0.85
