PSI	Metadata
TCGA-EB-A4IS-01A-21R-A266-07.bed	TCGA-EB-A4IS
TCGA-D3-A3MU-06A-11R-A21D-07.bed	TCGA-D3-A3MU
TCGA-HR-A2OG-06A-21R-A18U-07.bed	TCGA-HR-A2OG
TCGA-EE-A2MN-06A-11R-A18S-07.bed	TCGA-EE-A2MN
TCGA-FS-A4F5-06A-11R-A266-07.bed	TCGA-FS-A4F5
TCGA-WE-A8ZT-06A-11R-A37K-07.bed	TCGA-WE-A8ZT
TCGA-GN-A264-06A-11R-A18U-07.bed	TCGA-GN-A264
TCGA-EE-A29S-06A-11R-A18T-07.bed	TCGA-EE-A29S
TCGA-D3-A5GS-06A-11R-A27Q-07.bed	TCGA-D3-A5GS
TCGA-DA-A95Y-06A-11R-A37K-07.bed	TCGA-DA-A95Y
TCGA-GF-A2C7-01A-11R-A18T-07.bed	TCGA-GF-A2C7
TCGA-EE-A185-06A-11R-A18S-07.bed	TCGA-EE-A185
TCGA-EB-A4IQ-01A-12R-A266-07.bed	TCGA-EB-A4IQ
TCGA-D3-A2J6-06A-11R-A18T-07.bed	TCGA-D3-A2J6
TCGA-LH-A9QB-06A-11R-A38C-07.bed	TCGA-LH-A9QB
TCGA-ER-A2NB-01A-12R-A18S-07.bed	TCGA-ER-A2NB
TCGA-FS-A4FD-06A-11R-A266-07.bed	TCGA-FS-A4FD
TCGA-EB-A82B-01A-11R-A352-07.bed	TCGA-EB-A82B
TCGA-BF-A3DN-01A-11R-A20F-07.bed	TCGA-BF-A3DN
TCGA-FS-A1ZS-06A-12R-A18T-07.bed	TCGA-FS-A1ZS
TCGA-EE-A29Q-06A-11R-A18T-07.bed	TCGA-EE-A29Q
TCGA-ER-A42L-06A-11R-A24X-07.bed	TCGA-ER-A42L
TCGA-FR-A3YO-06A-11R-A239-07.bed	TCGA-FR-A3YO
TCGA-FW-A3TV-06A-11R-A239-07.bed	TCGA-FW-A3TV
TCGA-EE-A2GS-06A-12R-A18S-07.bed	TCGA-EE-A2GS
TCGA-GN-A263-01A-11R-A18T-07.bed	TCGA-GN-A263
TCGA-EB-A4P0-01A-41R-A266-07.bed	TCGA-EB-A4P0
TCGA-EE-A17Y-06A-11R-A18T-07.bed	TCGA-EE-A17Y
TCGA-FS-A1YY-06A-11R-A18T-07.bed	TCGA-FS-A1YY
TCGA-D9-A4Z3-01A-11R-A266-07.bed	TCGA-D9-A4Z3
TCGA-D3-A3CB-06A-11R-A18S-07.bed	TCGA-D3-A3CB
TCGA-EB-A42Y-01A-12R-A24X-07.bed	TCGA-EB-A42Y
TCGA-DA-A3F3-06A-11R-A20F-07.bed	TCGA-DA-A3F3
TCGA-D3-A3CE-06A-11R-A18S-07.bed	TCGA-D3-A3CE
TCGA-D3-A8GL-06A-11R-A37K-07.bed	TCGA-D3-A8GL
TCGA-GN-A8LN-01A-11R-A37K-07.bed	TCGA-GN-A8LN
TCGA-DA-A3F8-06A-11R-A20F-07.bed	TCGA-DA-A3F8
TCGA-W3-AA1O-06A-11R-A38C-07.bed	TCGA-W3-AA1O
TCGA-EB-A5UL-06A-11R-A311-07.bed	TCGA-EB-A5UL
TCGA-WE-AA9Y-06A-12R-A38C-07.bed	TCGA-WE-AA9Y
TCGA-WE-A8K6-06A-11R-A37K-07.bed	TCGA-WE-A8K6
TCGA-ER-A19M-06A-61R-A239-07.bed	TCGA-ER-A19M
TCGA-EE-A20B-06A-11R-A18U-07.bed	TCGA-EE-A20B
TCGA-ER-A19F-06A-11R-A18S-07.bed	TCGA-ER-A19F
TCGA-EE-A3AG-06A-31R-A18S-07.bed	TCGA-EE-A3AG
TCGA-DA-A3F2-06A-11R-A20F-07.bed	TCGA-DA-A3F2
TCGA-YG-AA3O-06A-11R-A38C-07.bed	TCGA-YG-AA3O
